@@@@@ Start training GCN-RMSprop...
[EPOCH 0]	Train Acc: 0.5052	Train Loss: 0.0032	Valid Acc: 0.4975	Valid Loss: 0.0033
[EPOCH 1]	Train Acc: 0.4947	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 2]	Train Acc: 0.4947	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 3]	Train Acc: 0.4944	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 4]	Train Acc: 0.4946	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 5]	Train Acc: 0.4946	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 6]	Train Acc: 0.4947	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 7]	Train Acc: 0.4947	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 8]	Train Acc: 0.4947	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 9]	Train Acc: 0.4947	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 10]	Train Acc: 0.4944	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 11]	Train Acc: 0.4947	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 12]	Train Acc: 0.4944	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 13]	Train Acc: 0.4947	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 14]	Train Acc: 0.4944	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 15]	Train Acc: 0.4947	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 16]	Train Acc: 0.4948	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 17]	Train Acc: 0.4944	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 18]	Train Acc: 0.4948	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 19]	Train Acc: 0.4947	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 20]	Train Acc: 0.4947	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
[EPOCH 21]	Train Acc: 0.4947	Train Loss: 0.0033	Valid Acc: 0.5025	Valid Loss: 0.0032
